,Location,Area,Bed,Bath,Price
522,"Block A, Niketan, Dhaka","1,250 sqft",3,3,30 Thousand
523,"South Goran, Goran, Khilgaon, Dhaka",950 sqft,3,2,15 Thousand
524,"Rupnagar R/A, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
525,"Gulbag, Malibagh, Dhaka",700 sqft,2,2,18 Thousand
526,"Tajmahal Road, Mohammadpur, Dhaka","1,600 sqft",3,3,30 Thousand
527,"Kalabagan, Dhaka","1,100 sqft",3,3,30 Thousand
528,"Block E, Bashundhara R-A, Dhaka","1,330 sqft",3,3,28 Thousand
529,"Mirpur, Dhaka","1,050 sqft",3,2,17 Thousand
530,"Block J, South Banasree Project, Banasree, Dhaka","1,527 sqft",3,4,20 Thousand
531,"Hatirpool, Dhaka","1,400 sqft",3,3,30 Thousand
532,"Baridhara, Dhaka","2,200 sqft",3,3,1.1 Lakh
533,"Block A, Section 12, Mirpur, Dhaka","1,200 sqft",3,3,30 Thousand
534,"Shah Ali Bag, Section 1, Mirpur, Dhaka","1,360 sqft",3,3,18 Thousand
535,"Shantibag, Malibagh, Dhaka",800 sqft,2,2,18 Thousand
536,"Porod Diea, Satarkul, Uttar Badda, Badda, Dhaka",700 sqft,2,2,10 Thousand
537,"Shantinagar, Dhaka","1,620 sqft",4,4,35 Thousand
538,"Block G, Bashundhara R-A, Dhaka","1,800 sqft",3,4,24 Thousand
539,"Manikdi, Cantonment, Dhaka","1,100 sqft",3,3,15 Thousand
540,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",900 sqft,2,3,16 Thousand
541,"Hazaribag, Dhaka",800 sqft,2,2,14 Thousand
542,"Shahjahanpur, Dhaka",700 sqft,2,2,21 Thousand
543,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",720 sqft,2,2,13 Thousand
544,"Block A, Metro Housing, Bochila, Mohammadpur, Dhaka",700 sqft,2,2,11 Thousand
545,"Block A, Metro Housing, Bochila, Mohammadpur, Dhaka","1,000 sqft",3,2,10.5 Thousand
546,"Kalachandpur, Dhaka",750 sqft,2,2,14 Thousand
547,"Eastern Pallabi, Pallabi, Mirpur, Dhaka","1,200 sqft",3,3,18 Thousand
548,"Shahjahanpur, Dhaka",600 sqft,2,1,16 Thousand
549,"Kallyanpur, Mirpur, Dhaka",850 sqft,3,2,15 Thousand
550,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",800 sqft,2,2,11.5 Thousand
551,"Sector 10, Uttara, Dhaka","1,050 sqft",2,2,20 Thousand
552,"Shantinagar, Dhaka","1,200 sqft",3,3,33 Thousand
553,"North Shahjahanpur, Dhaka","1,200 sqft",3,3,29 Thousand
554,"Shantinagar, Dhaka","1,200 sqft",3,3,30 Thousand
555,"Rampura, Dhaka","1,370 sqft",3,3,20 Thousand
556,"Shantinagar, Dhaka","1,300 sqft",3,3,32 Thousand
557,"Avenue 10, Mirpur DOHS, Mirpur, Dhaka","2,200 sqft",4,4,35 Thousand
558,"Mohammadi Housing LTD., Mohammadpur, Dhaka","1,150 sqft",3,2,16.5 Thousand
559,"Sector 9, Uttara, Dhaka","2,120 sqft",4,4,60 Thousand
560,"Sector 13, Uttara, Dhaka",950 sqft,3,2,20 Thousand
561,"Hazaribag, Dhaka",850 sqft,2,2,20 Thousand
562,"Mirpur, Dhaka","1,200 sqft",3,3,20 Thousand
563,"Kathalbagan, Dhaka","1,150 sqft",3,3,27 Thousand
564,"Bashabo, Dhaka",800 sqft,2,2,18 Thousand
565,"Rupnagar R/A, Mirpur, Dhaka",850 sqft,2,2,14 Thousand
566,"Sector 4, Uttara, Dhaka","2,100 sqft",3,4,40 Thousand
567,"Gawair, Dakshin Khan, Dhaka",700 sqft,2,2,10 Thousand
568,"Paikpara, Ahmed Nagar, Mirpur, Dhaka","1,200 sqft",3,2,18 Thousand
569,"Kallyanpur, Mirpur, Dhaka","1,000 sqft",2,2,13 Thousand
570,"Kallyanpur, Mirpur, Dhaka","1,000 sqft",2,2,13 Thousand
571,"Lalbagh, Dhaka",700 sqft,2,2,15 Thousand
572,"Middle Badda, Badda, Dhaka",800 sqft,2,2,19 Thousand
573,"South Pirerbag, Pirerbag, Mirpur, Dhaka",500 sqft,2,1,9 Thousand
574,"Rupnagar R/A, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
575,"1st Colony, Mirpur, Dhaka","1,200 sqft",3,3,17 Thousand
576,"Section 1, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
577,"Block D, Mansurabad Housing Society, Adabor, Dhaka",800 sqft,2,2,16 Thousand
578,"Block D, Mansurabad Housing Society, Adabor, Dhaka",800 sqft,2,2,16 Thousand
579,"Shantinagar, Dhaka","1,400 sqft",3,3,33 Thousand
580,"Sector 10, Uttara, Dhaka","1,500 sqft",3,3,25 Thousand
581,"Block A, Dhaka Uddan, Mohammadpur, Dhaka","1,050 sqft",3,2,16 Thousand
582,"Nadda, Dhaka","1,500 sqft",3,3,30 Thousand
583,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",600 sqft,2,1,9 Thousand
584,"Hazaribag, Dhaka",750 sqft,2,2,17 Thousand
585,"Block F, aziz Moholla, Mohammadpur, Dhaka",650 sqft,2,2,14 Thousand
586,"Mirpur, Dhaka","1,050 sqft",3,3,12 Thousand
587,"Mastertek, Cantonment, Dhaka","1,050 sqft",3,3,13 Thousand
588,"Manikdi, Cantonment, Dhaka","1,250 sqft",3,3,15 Thousand
589,"Sutrapur, Dhaka","1,800 sqft",4,4,40 Thousand
590,"2nd Colony, Mirpur, Dhaka",700 sqft,2,2,12 Thousand
591,"East Monipur, Mirpur, Dhaka","1,200 sqft",3,3,19 Thousand
592,"Dhanmondi, Dhaka","2,000 sqft",4,4,50 Thousand
593,"Mohammadpur, Dhaka",650 sqft,2,1,14 Thousand
594,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",650 sqft,2,2,12 Thousand
595,"Kathalbagan, Dhaka","1,850 sqft",4,4,40 Thousand
596,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",600 sqft,2,2,13.5 Thousand
597,"2nd Colony, Mirpur, Dhaka",650 sqft,2,2,11 Thousand
598,"Faydabad, Dakshin Khan, Dhaka",700 sqft,2,2,12 Thousand
599,"Block E, Section 12, Mirpur, Dhaka",650 sqft,2,2,14 Thousand
600,"Rupnagar R/A, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
601,"Bashabo, Dhaka",800 sqft,3,2,15 Thousand
602,"Baridhara, Dhaka","2,200 sqft",3,3,1.1 Lakh
603,"Shah Ali Bag, Section 1, Mirpur, Dhaka","1,360 sqft",3,3,18 Thousand
604,"Mohammadpur, Dhaka",670 sqft,2,2,16 Thousand
605,"Mirpur, Dhaka",800 sqft,2,2,15 Thousand
606,"Mohammadpur, Dhaka",720 sqft,2,2,15 Thousand
607,"Uttar Badda, Badda, Dhaka","1,250 sqft",3,2,18 Thousand
608,"Shahjahanpur, Dhaka",700 sqft,2,2,20 Thousand
609,"Shahjahanpur, Dhaka","1,200 sqft",3,3,32 Thousand
610,"Block D, Dhaka Uddan, Mohammadpur, Dhaka",800 sqft,2,2,10 Thousand
611,"Block F, South Banasree Project, Banasree, Dhaka",750 sqft,2,2,12 Thousand
612,"Shahjahanpur, Dhaka",700 sqft,2,2,15 Thousand
613,"Rajarbag, Bashabo, Dhaka",800 sqft,2,2,11.5 Thousand
614,"Rajarbag, Bashabo, Dhaka",800 sqft,2,2,10.5 Thousand
615,"South Pirerbag, Pirerbag, Mirpur, Dhaka",900 sqft,2,2,15 Thousand
616,"Shahjahanpur, Dhaka",700 sqft,2,2,20 Thousand
617,"Kadamtala, Bashabo, Dhaka",800 sqft,2,2,14 Thousand
618,"Middle Badda, Badda, Dhaka","1,250 sqft",3,2,20 Thousand
619,"Joar Sahara, Dhaka",600 sqft,2,2,12 Thousand
620,"Kadamtala, Bashabo, Dhaka",800 sqft,2,2,13 Thousand
621,"North Shahjahanpur, Dhaka",700 sqft,2,2,20 Thousand
622,"Kadamtala, Bashabo, Dhaka",800 sqft,2,2,14.5 Thousand
623,"Sector 3, Uttara, Dhaka","1,300 sqft",2,2,21 Thousand
624,"West Rampura, Rampura, Dhaka",800 sqft,2,2,13 Thousand
625,"Shantinagar, Dhaka","1,320 sqft",3,3,30 Thousand
626,"Block A, Dhaka Uddan, Mohammadpur, Dhaka","1,500 sqft",3,3,17 Thousand
627,"Avenue 7, Mirpur DOHS, Mirpur, Dhaka","1,450 sqft",3,3,28 Thousand
628,"Shantinagar, Dhaka","1,300 sqft",3,3,35 Thousand
629,"Tilpapara, Khilgaon, Dhaka",500 sqft,2,1,13 Thousand
630,"Kallyanpur, Mirpur, Dhaka","1,370 sqft",3,3,17 Thousand
631,"Maghbazar, Dhaka",600 sqft,2,1,15 Thousand
632,"Kallyanpur, Mirpur, Dhaka","1,000 sqft",2,2,13 Thousand
633,"Kallyanpur, Mirpur, Dhaka","1,000 sqft",2,2,13 Thousand
634,"Kallyanpur, Mirpur, Dhaka","1,050 sqft",3,3,16 Thousand
635,"Paikpara, Ahmed Nagar, Mirpur, Dhaka","1,200 sqft",3,2,18 Thousand
636,"Gawair, Dakshin Khan, Dhaka",700 sqft,2,2,10 Thousand
637,"West Kafrul, Taltola, Agargaon, Dhaka",700 sqft,2,2,12 Thousand
638,"Farmgate, Tejgaon, Dhaka","1,350 sqft",3,2,32 Thousand
639,"Joar Sahara, Dhaka","1,100 sqft",3,2,21 Thousand
640,"Mirpur, Dhaka",700 sqft,2,2,12 Thousand
641,"Goaltek, Dakshin Khan, Dhaka",720 sqft,2,2,13 Thousand
642,"Section 10, Mirpur, Dhaka","1,050 sqft",3,2,16 Thousand
643,"Block D, Chandrima Model Town, Mohammadpur, Dhaka","1,200 sqft",3,3,15 Thousand
644,"Sector 10, Uttara, Dhaka","1,450 sqft",3,2,20 Thousand
645,"Kazibari, Dakshin Khan, Dhaka",700 sqft,2,2,11 Thousand
646,"Ibrahimpur, Dhaka",750 sqft,2,2,12 Thousand
647,"Rayer Bazaar, Hazaribag, Dhaka",700 sqft,2,2,14 Thousand
648,"Sultanganj, Rayer Bazaar, Hazaribag, Dhaka","1,000 sqft",3,2,19 Thousand
649,"Tikatuli, Sutrapur, Dhaka","1,100 sqft",3,2,26 Thousand
650,"Faydabad, Dakshin Khan, Dhaka",700 sqft,2,2,12 Thousand
651,"Faydabad, Dakshin Khan, Dhaka",700 sqft,2,2,13 Thousand
652,"Faydabad, Dakshin Khan, Dhaka",700 sqft,2,2,13 Thousand
653,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",650 sqft,2,2,11 Thousand
654,"Agargaon, Dhaka","1,200 sqft",3,3,20 Thousand
655,"Section 12, Mirpur, Dhaka","1,600 sqft",3,3,25 Thousand
656,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
657,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",650 sqft,2,2,11 Thousand
658,"Tikatuli, Sutrapur, Dhaka",850 sqft,2,2,26 Thousand
659,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka","1,150 sqft",3,3,20 Thousand
660,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka","1,150 sqft",3,3,20 Thousand
661,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka","1,150 sqft",3,3,20 Thousand
662,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka","1,150 sqft",3,3,20 Thousand
663,"Sector 6, Uttara, Dhaka","1,600 sqft",3,4,30 Thousand
664,"Taltola, Agargaon, Dhaka","1,500 sqft",4,2,22 Thousand
665,"East Shewrapara, Mirpur, Dhaka",600 sqft,2,2,9 Thousand
666,"Senpara Parbata, Section 10, Mirpur, Dhaka",650 sqft,2,2,13 Thousand
667,"Senpara Parbata, Section 10, Mirpur, Dhaka",900 sqft,3,2,14 Thousand
668,"Bashundhara R-A, Dhaka","1,200 sqft",3,3,17 Thousand
669,"Ibrahimpur, Dhaka",900 sqft,3,2,15 Thousand
670,"Maghbazar, Dhaka","1,570 sqft",3,3,30 Thousand
671,"Maghbazar, Dhaka","1,570 sqft",3,3,30 Thousand
672,"Kallyanpur, Mirpur, Dhaka","1,200 sqft",3,3,18 Thousand
673,"Middle Paikpara, Mirpur, Dhaka",600 sqft,2,1,10 Thousand
674,"Tejkunipara, Tejgaon, Dhaka","1,180 sqft",3,3,25 Thousand
675,"Block H, Bashundhara R-A, Dhaka",300 sqft,1,1,12 Thousand
676,"Goran, Khilgaon, Dhaka",700 sqft,2,2,11 Thousand
677,"Bashabo, Dhaka",600 sqft,1,1,15 Thousand
678,"Block F, Dhaka Uddan, Mohammadpur, Dhaka","1,050 sqft",3,2,13 Thousand
679,"East Bashabo, Bashabo, Dhaka","1,200 sqft",3,3,18.5 Thousand
680,"Chayabithi Eastern Housing, Middle Bashabo, Bashabo, Dhaka",500 sqft,1,1,8.5 Thousand
681,"Madartek, Bashabo, Dhaka",700 sqft,2,2,10 Thousand
682,"Rupnagar R/A, Mirpur, Dhaka",450 sqft,2,1,10 Thousand
683,"Kakrail, Dhaka","2,000 sqft",3,4,50 Thousand
684,"Block E, Section 12, Mirpur, Dhaka","1,400 sqft",3,3,28 Thousand
685,"Block J, Bashundhara R-A, Dhaka","1,600 sqft",4,4,25 Thousand
686,"Section 10, Mirpur, Dhaka",600 sqft,2,2,15 Thousand
687,"Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka","1,654 sqft",3,3,12 Thousand
688,"PC Culture Housing, Mohammadpur, Dhaka","1,250 sqft",3,4,20 Thousand
689,"Maghbazar, Dhaka",850 sqft,2,2,16 Thousand
690,"Block E, Section 12, Mirpur, Dhaka",800 sqft,3,3,19 Thousand
691,"Maghbazar, Dhaka",900 sqft,2,2,20 Thousand
692,"Block C, Bashundhara R-A, Dhaka","1,400 sqft",3,3,30 Thousand
693,"Sector 7, Uttara, Dhaka","1,250 sqft",3,3,20 Thousand
694,"Block H, Section 2, Mirpur, Dhaka",700 sqft,2,2,13 Thousand
695,"Block H, Section 2, Mirpur, Dhaka",700 sqft,2,2,14 Thousand
696,"Sector 1, Block E, Aftab Nagar, Dhaka",700 sqft,2,2,15 Thousand
697,"Paikpara, Ahmed Nagar, Mirpur, Dhaka","1,110 sqft",3,2,15 Thousand
698,"Paikpara, Ahmed Nagar, Mirpur, Dhaka","1,250 sqft",3,3,16 Thousand
699,"Ibrahimpur, Dhaka",850 sqft,2,2,18 Thousand
700,"Uttar Badda, Badda, Dhaka","1,400 sqft",3,3,22 Thousand
701,"Paikpara, Ahmed Nagar, Mirpur, Dhaka","1,250 sqft",3,3,16 Thousand
702,"North Ibrahimpur, Ibrahimpur, Dhaka",950 sqft,3,2,18 Thousand
703,"Paikpara, Ahmed Nagar, Mirpur, Dhaka","1,250 sqft",3,3,16 Thousand
704,"Paikpara, Ahmed Nagar, Mirpur, Dhaka","1,180 sqft",3,2,17 Thousand
705,"Paikpara, Ahmed Nagar, Mirpur, Dhaka","1,110 sqft",3,2,15 Thousand
706,"Paikpara, Ahmed Nagar, Mirpur, Dhaka","1,250 sqft",3,3,16 Thousand
707,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",600 sqft,2,2,9.5 Thousand
708,"Mirpur, Dhaka",750 sqft,2,2,12 Thousand
709,"Ahmed Nagar, Mirpur, Dhaka","1,370 sqft",3,3,20 Thousand
710,"Ahmed Nagar, Mirpur, Dhaka","1,260 sqft",3,3,17 Thousand
711,"Paikpara, Ahmed Nagar, Mirpur, Dhaka","1,200 sqft",3,3,16 Thousand
712,"Paikpara, Ahmed Nagar, Mirpur, Dhaka","1,260 sqft",3,3,17 Thousand
713,"Paikpara, Ahmed Nagar, Mirpur, Dhaka","1,200 sqft",3,3,16 Thousand
714,"Block A, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",700 sqft,2,2,12 Thousand
715,"Nayatola, Maghbazar, Dhaka","1,300 sqft",3,2,22 Thousand
716,"Wari, Sutrapur, Dhaka","1,400 sqft",3,3,35 Thousand
717,"Zafrabad, Hazaribag, Dhaka","1,000 sqft",3,2,20 Thousand
718,"Pirerbag, Mirpur, Dhaka","1,150 sqft",3,3,15 Thousand
719,"Block A, Sayednagar, East Vatara, Vatara, Badda, Dhaka","1,050 sqft",3,2,16 Thousand
720,"Dakkhin Paikpara, Mirpur, Dhaka",500 sqft,1,1,8 Thousand
721,"Block A, Sayednagar, East Vatara, Vatara, Badda, Dhaka","1,050 sqft",3,2,16 Thousand
722,"Block A, Sayednagar, East Vatara, Vatara, Badda, Dhaka",950 sqft,3,2,15 Thousand
723,"Block A, Sayednagar, East Vatara, Vatara, Badda, Dhaka",750 sqft,2,2,13 Thousand
724,"Tikatuli, Sutrapur, Dhaka","1,250 sqft",3,3,22 Thousand
725,"Tikatuli, Sutrapur, Dhaka",850 sqft,3,2,20 Thousand
726,"Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka","1,050 sqft",3,2,14 Thousand
727,"North Pirerbag, Pirerbag, Mirpur, Dhaka",820 sqft,2,2,10.5 Thousand
728,"Kafrul, Dhaka",600 sqft,1,1,9 Thousand
729,"Wari, Sutrapur, Dhaka","2,300 sqft",4,3,30 Thousand
730,"Dakshin Khan, Dhaka",600 sqft,2,2,9 Thousand
731,"Dakshin Khan, Dhaka",700 sqft,2,2,10 Thousand
732,"Kazibari, Dakshin Khan, Dhaka",700 sqft,2,2,12 Thousand
733,"Kazibari, Dakshin Khan, Dhaka",500 sqft,2,1,8 Thousand
734,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",600 sqft,2,2,11 Thousand
735,"Sunibir Housing Society, Adabor, Dhaka",800 sqft,2,2,16 Thousand
736,"Block D, Section 11, Mirpur, Dhaka",650 sqft,2,2,10 Thousand
737,"Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,14 Thousand
738,"Block D, Section 11, Mirpur, Dhaka",650 sqft,2,2,10 Thousand
739,"North Azampur, Dakshin Khan, Dhaka",700 sqft,2,2,14 Thousand
740,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",800 sqft,2,2,17 Thousand
741,"West Rampura, Rampura, Dhaka",600 sqft,2,1,12 Thousand
742,"South Pirerbag, Pirerbag, Mirpur, Dhaka",750 sqft,2,2,13.5 Thousand
743,"Block C, Bashundhara R-A, Dhaka","1,400 sqft",3,4,24 Thousand
744,"Mirpur, Dhaka",450 sqft,1,1,9 Thousand
745,"Rupnagar R/A, Mirpur, Dhaka","1,300 sqft",3,3,18 Thousand
746,"Shyamoli, Dhaka",720 sqft,2,2,17 Thousand
747,"Shyamoli, Dhaka",720 sqft,2,2,17 Thousand
748,"Mirpur, Dhaka","1,244 sqft",3,3,16 Thousand
749,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",550 sqft,1,1,11 Thousand
750,"2nd Colony, Mirpur, Dhaka","1,100 sqft",3,2,17 Thousand
751,"Block D, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",800 sqft,2,2,18.5 Thousand
752,"Faydabad, Dakshin Khan, Dhaka",700 sqft,2,2,12 Thousand
753,"Faydabad, Dakshin Khan, Dhaka","1,000 sqft",2,2,13 Thousand
754,"Faydabad, Dakshin Khan, Dhaka",700 sqft,2,2,11 Thousand
755,"Rayer Bazaar, Hazaribag, Dhaka",700 sqft,2,2,14 Thousand
756,"Faydabad, Dakshin Khan, Dhaka",700 sqft,2,2,11 Thousand
757,"Faydabad, Dakshin Khan, Dhaka",700 sqft,2,2,10 Thousand
758,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka","1,150 sqft",3,3,20 Thousand
759,"Rayer Bazaar, Hazaribag, Dhaka",700 sqft,2,2,14 Thousand
760,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka","1,150 sqft",3,3,20 Thousand
761,"Vashantek, Cantonment, Dhaka","1,050 sqft",3,2,13 Thousand
762,"Block I, Bashundhara R-A, Dhaka","1,300 sqft",3,3,21 Thousand
763,"Sector 13, Uttara, Dhaka",900 sqft,2,2,20 Thousand
764,"Sector 13, Uttara, Dhaka","1,500 sqft",3,3,25 Thousand
765,"West Shewrapara, Mirpur, Dhaka",800 sqft,2,2,12 Thousand
766,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",650 sqft,2,2,10 Thousand
767,"Merul Badda, Badda, Dhaka",700 sqft,2,2,13 Thousand
768,"Block A, Dhaka Uddan, Mohammadpur, Dhaka",750 sqft,2,2,10 Thousand
769,"Vashantek, Cantonment, Dhaka",650 sqft,2,2,10 Thousand
770,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",650 sqft,2,2,11 Thousand
771,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",650 sqft,2,2,11 Thousand
772,"Block F, aziz Moholla, Mohammadpur, Dhaka",720 sqft,2,2,15 Thousand
773,"Maghbazar, Dhaka","1,570 sqft",3,3,25 Thousand
774,"Block C, Chandrima Model Town, Mohammadpur, Dhaka","1,020 sqft",3,2,10 Thousand
775,"Block C, Chandrima Model Town, Mohammadpur, Dhaka","1,020 sqft",3,2,10 Thousand
776,"Jagannathpur, Badda, Dhaka",700 sqft,2,2,14 Thousand
777,"Jagannathpur, Badda, Dhaka",750 sqft,2,2,16 Thousand
778,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",600 sqft,2,2,11 Thousand
779,"Mohammadia Housing Society, Mohammadpur, Dhaka",700 sqft,2,2,13 Thousand
780,"Kadamtala, Bashabo, Dhaka",800 sqft,2,2,15 Thousand
781,"Kadamtala, Bashabo, Dhaka",700 sqft,2,2,13 Thousand
782,"Shiddheswari, Dhaka","1,000 sqft",2,2,25 Thousand
783,"West Shewrapara, Mirpur, Dhaka","1,350 sqft",3,3,17 Thousand
784,"Eskaton, Dhaka","1,300 sqft",3,3,27 Thousand
785,"Kadamtala, Bashabo, Dhaka",700 sqft,2,2,12 Thousand
786,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",600 sqft,2,1,9.5 Thousand
787,"North Azampur, Dakshin Khan, Dhaka",700 sqft,2,2,12.5 Thousand
788,"Kadamtala, Bashabo, Dhaka",600 sqft,2,1,10.55 Thousand
789,"Block C, Section 2, Mirpur, Dhaka",750 sqft,2,2,12 Thousand
790,"Azimpur, Lalbagh, Dhaka",700 sqft,2,2,19 Thousand
791,"Sector 13, Uttara, Dhaka",900 sqft,3,2,18 Thousand
792,"Kadamtala, Bashabo, Dhaka",700 sqft,2,2,13 Thousand
793,"Mohammadpur, Dhaka",650 sqft,2,2,15 Thousand
794,"Shantibag, Malibagh, Dhaka",800 sqft,2,2,16 Thousand
795,"Senpara Parbata, Section 10, Mirpur, Dhaka","1,290 sqft",3,3,22 Thousand
796,"Shahbagh, Dhaka","1,754 sqft",3,3,30 Thousand
797,"Maghbazar, Dhaka",850 sqft,2,2,19 Thousand
798,"Dhanmondi, Dhaka","1,150 sqft",2,2,25 Thousand
799,"Mirpur, Dhaka",900 sqft,3,2,15 Thousand
800,"Rajarbagh, Motijheel, Dhaka",600 sqft,1,1,20 Thousand
801,"Avenue 8, Mirpur DOHS, Mirpur, Dhaka","2,200 sqft",4,4,35 Thousand
802,"Block G, Bashundhara R-A, Dhaka","1,390 sqft",3,3,25 Thousand
803,"Sector 12, Uttara, Dhaka",800 sqft,2,2,18 Thousand
804,"Madhya Ajampur, Dakshin Khan, Dhaka",900 sqft,2,2,12 Thousand
805,"Block D, Bashundhara R-A, Dhaka","2,000 sqft",3,3,45 Thousand
806,"Block H, Section 2, Mirpur, Dhaka",700 sqft,2,2,13 Thousand
807,"Taltola, Agargaon, Dhaka",700 sqft,2,2,15 Thousand
808,"Block D, Section 15, Mirpur, Dhaka","1,553 sqft",3,3,22 Thousand
809,"Block D, Section 15, Mirpur, Dhaka","1,553 sqft",3,3,22 Thousand
810,"Shah Ali Bag, Section 1, Mirpur, Dhaka","1,500 sqft",3,3,25 Thousand
811,"Shah Ali Bag, Section 1, Mirpur, Dhaka","1,500 sqft",3,3,25 Thousand
812,"Shah Ali Bag, Section 1, Mirpur, Dhaka","1,500 sqft",3,3,25 Thousand
813,"Shah Ali Bag, Section 1, Mirpur, Dhaka","1,500 sqft",3,3,25 Thousand
814,"Manikdi, Cantonment, Dhaka","1,150 sqft",3,3,12 Thousand
815,"Manikdi, Cantonment, Dhaka","1,150 sqft",3,3,12 Thousand
816,"Wari, Sutrapur, Dhaka","1,400 sqft",3,3,35 Thousand
817,"Sector 10, Uttara, Dhaka","1,400 sqft",3,3,20 Thousand
818,"Sector 10, Uttara, Dhaka","1,400 sqft",3,3,20 Thousand
819,"Uttar Badda, Badda, Dhaka","1,300 sqft",3,3,25 Thousand
820,"Block A, Section 13, Mirpur, Dhaka",750 sqft,2,2,12 Thousand
821,"Taltola, Dakshin Khan, Dhaka","1,200 sqft",3,3,14 Thousand
822,"Taltola, Dakshin Khan, Dhaka","1,200 sqft",3,3,14 Thousand
823,"Modhubag, Boro Maghbazar, Maghbazar, Dhaka",800 sqft,2,2,15 Thousand
824,"Nadda, Dhaka","1,200 sqft",3,3,23 Thousand
825,"Block A, Sayednagar, East Vatara, Vatara, Badda, Dhaka","1,000 sqft",3,2,14 Thousand
826,"Mirpur, Dhaka",800 sqft,2,2,11 Thousand
827,"Section 1, Mirpur, Dhaka","1,100 sqft",3,3,16 Thousand
828,"Goaltek, Faydabad, Dakshin Khan, Dhaka",500 sqft,2,1,8 Thousand
829,"Dakshin Khan, Dhaka",700 sqft,2,2,12 Thousand
830,"Dakshin Khan, Dhaka",500 sqft,2,1,9 Thousand
831,"Sunibir Housing Society, Adabor, Dhaka",700 sqft,2,2,13 Thousand
832,"Sunibir Housing Society, Adabor, Dhaka",800 sqft,2,2,16 Thousand
833,"North Azampur, Dakshin Khan, Dhaka",700 sqft,2,2,14 Thousand
834,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",750 sqft,2,2,16 Thousand
835,"Sector 1, Uttara, Dhaka","1,500 sqft",3,3,25 Thousand
836,"Rupnagar R/A, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
837,"Ibrahimpur, Dhaka",800 sqft,2,2,13 Thousand
838,"Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,10 Thousand
839,"West Rampura, Rampura, Dhaka","1,050 sqft",3,2,18 Thousand
840,"Shiddheswari, Dhaka","1,000 sqft",2,2,26 Thousand
841,"Dakshin Khan, Dhaka",700 sqft,2,2,14 Thousand
842,"Dakshin Khan, Dhaka",700 sqft,2,2,14 Thousand
843,"Shyamoli, Dhaka",600 sqft,2,1,15.5 Thousand
844,"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",750 sqft,2,2,13.9 Thousand
845,"Sector 13, Uttara, Dhaka","1,500 sqft",3,3,25 Thousand
846,"Sector 13, Uttara, Dhaka",900 sqft,2,2,22 Thousand
847,"Pallabi, Mirpur, Dhaka","1,000 sqft",3,2,20 Thousand
848,"West Shewrapara, Mirpur, Dhaka","1,000 sqft",3,2,15 Thousand
849,"Block A, Section 10, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
850,"Block H, South Banasree Project, Banasree, Dhaka",600 sqft,2,2,11 Thousand
851,"Block A, Dhaka Uddan, Mohammadpur, Dhaka","1,100 sqft",3,3,14 Thousand
852,"Pallabi, Mirpur, Dhaka","1,785 sqft",3,3,28 Thousand
853,"Middle Badda, Badda, Dhaka",700 sqft,2,2,13 Thousand
854,"Block H, South Banasree Project, Banasree, Dhaka",700 sqft,2,2,12.5 Thousand
855,"Faydabad, Dakshin Khan, Dhaka",700 sqft,2,2,11 Thousand
856,"Block J, Baridhara, Dhaka","2,000 sqft",3,3,50 Thousand
